time_step,rmse,mae,mape,r2,smape,nrmse,fb,rules,time_cost,mem_cost,rmse_std,mae_std,mape_std,r2_std,smape_std,nrmse_std,fb_std,rules_std,time_cost_std,mem_cost_std
PM2.5(t+1),0.242,0,0,0,0,0.001,0,15569.6,193.53,4.888,0.254,0.0,0.0,0.0,0.0,0.001,0.0,989.58,225.665,2.088
PM10(t+1),0.462,0,0,0,0,0.001,0,15865.667,193.53,4.888,0.473,0.0,0.0,0.0,0.0,0.002,0.0,899.469,225.665,2.088
SO2(t+1),0.052,0,0,0,0,0.001,0,15663.0,193.53,4.888,0.104,0.0,0.0,0.0,0.0,0.002,0.0,755.957,225.665,2.088
NO2(t+1),0.187,0,0,0,0,0.001,0,16208.167,193.53,4.888,0.235,0.0,0.0,0.0,0.0,0.001,0.0,845.391,225.665,2.088
CO(t+1),3.578,0,0,0,0,0.001,0,15773.267,193.53,4.888,3.771,0.0,0.0,0.0,0.0,0.001,0.0,835.98,225.665,2.088
O3(t+1),0.212,0,0,0,0,0.001,0,15812.9,193.53,4.888,0.181,0.0,0.0,0.0,0.0,0.001,0.0,926.345,225.665,2.088
TEMP(t+1),5.299,0,0,0,0,0.21,0,15940.533,193.53,4.888,16.097,0.0,0.0,0.0,0.0,0.79,0.0,1069.794,225.665,2.088
PRES(t+1),7.42,0,0,0,0,0.219,0,14501.767,193.53,4.888,39.895,0.0,0.0,0.0,0.0,1.152,0.0,1011.346,225.665,2.088
DEWP(t+1),0.049,0,0,0,0,0.002,0,15728.667,193.53,4.888,0.057,0.0,0.0,0.0,0.0,0.002,0.0,785.894,225.665,2.088
RAIN(t+1),,0,0,0,0,0.004,0,20111.533,193.53,4.888,,0.0,0.0,0.0,0.0,0.014,0.0,47709.306,225.665,2.088
WSPM(t+1),0.01,0,0,0,0,0.002,0,16677.567,193.53,4.888,0.008,0.0,0.0,0.0,0.0,0.002,0.0,648.588,225.665,2.088
PM2.5.1(t+1),0.202,0,0,0,0,0.001,0,15624.2,193.53,4.888,0.223,0.0,0.0,0.0,0.0,0.001,0.0,880.758,225.665,2.088
PM10.1(t+1),0.527,0,0,0,0,0.002,0,15913.267,193.53,4.888,0.63,0.0,0.0,0.0,0.0,0.002,0.0,914.885,225.665,2.088
SO2.1(t+1),0.079,0,0,0,0,0.002,0,15590.733,193.53,4.888,0.134,0.0,0.0,0.0,0.0,0.005,0.0,784.866,225.665,2.088
NO2.1(t+1),0.192,0,0,0,0,0.002,0,16445.3,193.53,4.888,0.173,0.0,0.0,0.0,0.0,0.002,0.0,771.598,225.665,2.088
CO.1(t+1),6.097,0,0,0,0,0.002,0,15857.967,193.53,4.888,6.657,0.0,0.0,0.0,0.0,0.003,0.0,698.099,225.665,2.088
O3.1(t+1),0.188,0,0,0,0,0.001,0,16090.9,193.53,4.888,0.196,0.0,0.0,0.0,0.0,0.001,0.0,866.054,225.665,2.088
TEMP.1(t+1),6.619,0,0,0,0,0.221,0,15970.333,193.53,4.888,24.203,0.0,0.0,0.0,0.0,1.069,0.0,1096.148,225.665,2.088
PRES.1(t+1),0.123,0,0,0,0,0.008,0,14501.2,193.53,4.888,0.094,0.0,0.0,0.0,0.0,0.006,0.0,1000.364,225.665,2.088
DEWP.1(t+1),0.044,0,0,0,0,0.002,0,15660.3,193.53,4.888,0.07,0.0,0.0,0.0,0.0,0.003,0.0,802.051,225.665,2.088
RAIN.1(t+1),,0,0,0,0,0.001,0,32439.567,193.53,4.888,,0.0,0.0,0.0,0.0,0.003,0.0,64208.16,225.665,2.088
WSPM.1(t+1),0.014,0,0,0,0,0.002,0,16827.033,193.53,4.888,0.012,0.0,0.0,0.0,0.0,0.002,0.0,590.328,225.665,2.088
PM2.5.2(t+1),0.252,0,0,0,0,0.001,0,15507.567,193.53,4.888,0.487,0.0,0.0,0.0,0.0,0.003,0.0,946.845,225.665,2.088
PM10.2(t+1),0.416,0,0,0,0,0.002,0,15783.933,193.53,4.888,0.434,0.0,0.0,0.0,0.0,0.003,0.0,929.952,225.665,2.088
SO2.2(t+1),0.085,0,0,0,0,0.003,0,15507.367,193.53,4.888,0.166,0.0,0.0,0.0,0.0,0.006,0.0,758.633,225.665,2.088
NO2.2(t+1),0.083,0,0,0,0,0.001,0,15994.2,193.53,4.888,0.087,0.0,0.0,0.0,0.0,0.001,0.0,895.129,225.665,2.088
CO.2(t+1),5.128,0,0,0,0,0.002,0,15593.867,193.53,4.888,7.818,0.0,0.0,0.0,0.0,0.002,0.0,711.033,225.665,2.088
O3.2(t+1),0.234,0,0,0,0,0.001,0,15867.367,193.53,4.888,0.257,0.0,0.0,0.0,0.0,0.002,0.0,906.514,225.665,2.088
TEMP.2(t+1),6.619,0,0,0,0,0.221,0,15970.333,193.53,4.888,24.203,0.0,0.0,0.0,0.0,1.069,0.0,1096.148,225.665,2.088
PRES.2(t+1),7.703,0,0,0,0,0.227,0,14490.367,193.53,4.888,41.498,0.0,0.0,0.0,0.0,1.202,0.0,1018.057,225.665,2.088
DEWP.2(t+1),0.044,0,0,0,0,0.002,0,15660.3,193.53,4.888,0.07,0.0,0.0,0.0,0.0,0.003,0.0,802.051,225.665,2.088
RAIN.2(t+1),,0,0,0,0,0.001,0,32439.567,193.53,4.888,,0.0,0.0,0.0,0.0,0.003,0.0,64208.16,225.665,2.088
WSPM.2(t+1),0.011,0,0,0,0,0.002,0,16827.033,193.53,4.888,0.01,0.0,0.0,0.0,0.0,0.002,0.0,590.328,225.665,2.088
PM2.5.3(t+1),0.35,0,0,0,0,0.001,0,15581.633,193.53,4.888,0.45,0.0,0.0,0.0,0.0,0.001,0.0,1013.461,225.665,2.088
PM10.3(t+1),0.502,0,0,0,0,0.001,0,15845.767,193.53,4.888,0.514,0.0,0.0,0.0,0.0,0.001,0.0,920.501,225.665,2.088
SO2.3(t+1),0.056,0,0,0,0,0.001,0,15576.767,193.53,4.888,0.076,0.0,0.0,0.0,0.0,0.001,0.0,751.098,225.665,2.088
NO2.3(t+1),0.195,0,0,0,0,0.001,0,16194.567,193.53,4.888,0.355,0.0,0.0,0.0,0.0,0.002,0.0,818.279,225.665,2.088
CO.3(t+1),4.06,0,0,0,0,0.001,0,15824.9,193.53,4.888,4.435,0.0,0.0,0.0,0.0,0.002,0.0,770.38,225.665,2.088
O3.3(t+1),0.231,0,0,0,0,0.001,0,15873.767,193.53,4.888,0.243,0.0,0.0,0.0,0.0,0.002,0.0,972.991,225.665,2.088
TEMP.3(t+1),5.294,0,0,0,0,0.21,0,15955.2,193.53,4.888,16.099,0.0,0.0,0.0,0.0,0.79,0.0,1084.896,225.665,2.088
PRES.3(t+1),7.419,0,0,0,0,0.219,0,14483.9,193.53,4.888,39.895,0.0,0.0,0.0,0.0,1.152,0.0,1018.344,225.665,2.088
DEWP.3(t+1),0.056,0,0,0,0,0.003,0,15696.3,193.53,4.888,0.064,0.0,0.0,0.0,0.0,0.003,0.0,783.375,225.665,2.088
RAIN.3(t+1),0.003,0,0,0,0,0.002,0,14088.967,193.53,4.888,0.012,0.0,0.0,0.0,0.0,0.007,0.0,35835.731,225.665,2.088
WSPM.3(t+1),0.009,0,0,0,0,0.001,0,16791.267,193.53,4.888,0.008,0.0,0.0,0.0,0.0,0.001,0.0,595.257,225.665,2.088
