time_step,rmse,mae,mape,r2,smape,nrmse,fb,rules,time_cost,mem_cost,rmse_std,mae_std,mape_std,r2_std,smape_std,nrmse_std,fb_std,rules_std,time_cost_std,mem_cost_std
PM2.5.4(t+1),0.263,0,0,0,0,0.001,0,15623.467,193.53,4.888,0.266,0.0,0.0,0.0,0.0,0.001,0.0,1031.839,225.665,2.088
PM10.4(t+1),0.477,0,0,0,0,0.002,0,15834.333,193.53,4.888,0.423,0.0,0.0,0.0,0.0,0.001,0.0,975.631,225.665,2.088
SO2.4(t+1),0.101,0,0,0,0,0.002,0,15542.733,193.53,4.888,0.146,0.0,0.0,0.0,0.0,0.003,0.0,787.418,225.665,2.088
NO2.4(t+1),0.256,0,0,0,0,0.001,0,16191.733,193.53,4.888,0.362,0.0,0.0,0.0,0.0,0.001,0.0,860.926,225.665,2.088
CO.4(t+1),5.242,0,0,0,0,0.002,0,15798.633,193.53,4.888,7.397,0.0,0.0,0.0,0.0,0.002,0.0,732.979,225.665,2.088
O3.4(t+1),0.169,0,0,0,0,0.001,0,15794.733,193.53,4.888,0.177,0.0,0.0,0.0,0.0,0.001,0.0,1040.941,225.665,2.088
TEMP.4(t+1),5.299,0,0,0,0,0.21,0,15940.533,193.53,4.888,16.097,0.0,0.0,0.0,0.0,0.79,0.0,1069.794,225.665,2.088
PRES.4(t+1),7.42,0,0,0,0,0.219,0,14501.767,193.53,4.888,39.895,0.0,0.0,0.0,0.0,1.152,0.0,1011.346,225.665,2.088
DEWP.4(t+1),0.049,0,0,0,0,0.002,0,15728.667,193.53,4.888,0.057,0.0,0.0,0.0,0.0,0.002,0.0,785.894,225.665,2.088
RAIN.4(t+1),,0,0,0,0,0.004,0,20111.533,193.53,4.888,,0.0,0.0,0.0,0.0,0.014,0.0,47709.306,225.665,2.088
WSPM.4(t+1),0.01,0,0,0,0,0.002,0,16677.567,193.53,4.888,0.009,0.0,0.0,0.0,0.0,0.002,0.0,648.588,225.665,2.088
PM2.5.5(t+1),0.228,0,0,0,0,0.001,0,15640.033,193.53,4.888,0.265,0.0,0.0,0.0,0.0,0.001,0.0,1024.015,225.665,2.088
PM10.5(t+1),0.503,0,0,0,0,0.001,0,15934.3,193.53,4.888,0.594,0.0,0.0,0.0,0.0,0.002,0.0,943.51,225.665,2.088
SO2.5(t+1),0.066,0,0,0,0,0.002,0,15413.733,193.53,4.888,0.106,0.0,0.0,0.0,0.0,0.003,0.0,855.926,225.665,2.088
NO2.5(t+1),0.164,0,0,0,0,0.001,0,16254.5,193.53,4.888,0.167,0.0,0.0,0.0,0.0,0.001,0.0,872.119,225.665,2.088
CO.5(t+1),5.324,0,0,0,0,0.002,0,15944.333,193.53,4.888,5.257,0.0,0.0,0.0,0.0,0.002,0.0,744.09,225.665,2.088
O3.5(t+1),0.162,0,0,0,0,0.001,0,15925.2,193.53,4.888,0.155,0.0,0.0,0.0,0.0,0.001,0.0,998.94,225.665,2.088
TEMP.5(t+1),6.637,0,0,0,0,0.296,0,15968.6,193.53,4.888,22.157,0.0,0.0,0.0,0.0,1.118,0.0,1151.565,225.665,2.088
PRES.5(t+1),0.133,0,0,0,0,0.008,0,14511.667,193.53,4.888,0.083,0.0,0.0,0.0,0.0,0.006,0.0,988.798,225.665,2.088
DEWP.5(t+1),0.035,0,0,0,0,0.002,0,15638.467,193.53,4.888,0.04,0.0,0.0,0.0,0.0,0.002,0.0,818.493,225.665,2.088
RAIN.5(t+1),,0,0,0,0,0.0,0,39990.267,193.53,4.888,,0.0,0.0,0.0,0.0,0.0,0.0,73597.122,225.665,2.088
WSPM.5(t+1),0.008,0,0,0,0,0.002,0,16412.6,193.53,4.888,0.007,0.0,0.0,0.0,0.0,0.001,0.0,634.095,225.665,2.088
