time_step,rmse,mae,r2,fb,nrmse,num_params,rmse_std,mae_std,r2_std,fb_std,nrmse_std,num_params_std
CO(t),359.4781364233276,230.059245021988,0.8200558820082052,0.03265463190169298,0.11511622345470271,43915.0,217.3454781682978,138.1958454176897,0.07408960177294253,0.06719817300204078,0.032894968635973666,0.0
DEWP(t),6.258028528457089,5.318236665598212,-0.6390697960437592,-0.5200695194636756,0.6057870720983599,43915.0,2.688267422368775,2.4281183255461967,0.8950573342830803,4.295899913874896,0.26549451169828747,0.0
NO2(t),25.684827710943733,19.617399766030303,0.26249499979298724,0.006938315014190207,0.3637681924963259,43915.0,10.429735805275156,7.379116365082626,0.545676775607454,0.17231491127411255,0.20505239636865788,0.0
O3(t),36.38142601757931,29.45060427605629,0.16980599318137843,-0.01374055160880071,1.1427025753481703,43915.0,18.27570095343937,15.63902875748072,0.5348259900043861,0.2922116905056029,1.218801626998559,0.0
PM10(t),59.35356320438316,41.05410506004433,0.42077187855257375,0.012690325608093217,0.2925028079624809,43915.0,24.65758077710364,16.37462805564246,0.2529315129064437,0.19270400156934553,0.1862887981820641,0.0
PM2.5(t),43.16245917184235,28.36330270558096,0.5519073784463407,0.0075685818273317175,0.21500217475847785,43915.0,21.57939162671479,13.924891913482552,0.23176810520486976,0.20644208378058426,0.15708533991644266,0.0
PRES(t),37.42135811148276,32.64852542432016,-115.86213185628714,0.024741793492077183,0.45177867906618824,43915.0,20.06757744462565,20.166905814857834,212.03212605946828,0.02670526280790546,0.3739466594312529,0.0
RAIN(t),0.5454627331723767,0.23308377473972655,-0.873612431305059,-0.8651279942750371,2.586940607387391,43915.0,0.5643157976758553,0.251665313054884,2.5502344388965184,2.1225708165282584,4.048816514630039,0.0
SO2(t),8.802764786128336,6.7526524753447354,-0.06476434608786187,-0.010495037018966629,0.6015599825980181,43915.0,3.9542958207012266,3.426722165889662,0.5565788853188672,0.30630740564283415,0.47656367847947045,0.0
TEMP(t),6.056908778614682,5.014910430327926,-1.0700825937396201,-0.8235410668648508,1.8219017107155793,43915.0,1.9355379115556948,1.8087641406393533,1.323418073679991,5.106565544065626,1.147228243638266,0.0
WSPM(t),1.4694023758275148,1.2029639565719747,0.1090828029972385,1.0,0.017856563182873812,43915.0,0.0,0.0,0.0,0.0,0.0,0.0
