time_step,time,num_params,RMSE,MAPE,SMAPE,MAE,R2,NRMSE,FB,time_std,num_params_std,RMSE_std,MAPE_std,SMAPE_std,MAE_std,R2_std,NRMSE_std,FB_std
Global_active_power (t+10),8.035,56238.0,219.99970448811848,75.0580307841301,25.360354781150818,182.5404525756836,-6.3623710837584735,66.22552280422471,-0.010140417324037932,1.9455355614045338,0.0,61.218956184165876,43.74608134116149,7.6175008105053275,52.04869519045695,33.81495452446644,84.49269510127895,0.3037219579054186
Global_active_power (t+15),8.035,56238.0,219.08788401285807,73.74488532543182,25.289040108521778,181.44206644694012,-10.654758636799832,66.31590498430582,-0.007436766892344935,1.9455355614045338,0.0,57.752512254501006,40.46650057615562,7.315290800469547,48.72963669530648,57.19257089778332,83.78233237260207,0.3010616020818274
Global_active_power (t+20),8.035,56238.0,220.31824544270833,72.05348044633865,25.201468120018642,182.31050338745118,-111.34091514399724,67.03840375772369,0.011002331470085235,1.9455355614045338,0.0,60.22158482684508,41.74980126723114,7.376595357129461,49.634439549415106,608.6604030419908,84.57035957346392,0.3059033029332929
Global_active_power (t+25),8.035,56238.0,222.89495290120442,72.5737601518631,25.490327676137287,184.5025410970052,-123.85367651122104,67.68237707253812,0.010624891758347021,1.9455355614045338,0.0,59.79756143429058,40.08215535594185,7.213012929964303,49.10886129576113,676.8863774339915,83.47249274393938,0.3165733982799641
Global_active_power (t+30),8.035,56238.0,219.7741376241048,72.42079138755798,25.325203438599903,182.18256581624348,-104.99664935292404,66.24835106725429,-0.00460558576517747,1.9455355614045338,0.0,58.0621431793477,37.051819723310096,6.908727073397225,47.24825459016458,573.0385362132776,81.63543147642017,0.3094464779398845
Global_active_power (t+5),8.035,56238.0,222.50772043863932,75.75863530238469,25.60616875688235,184.109285736084,-4.785212354784293,66.91375333008024,-0.007096583669423264,1.9455355614045338,0.0,60.088312497201834,44.25265320745529,7.589812667012498,52.122718716247036,25.140874754096288,84.11352301289794,0.30947548513382667
