window,time_step,rmse,mae,r2,fb,nrmse,num_params
0,use [kW](t),33.151025798608536,33.03407442588699,-2281.6953303522437,-2.14217838482516,3.02734993373376,172827
0,gen [kW](t),43.18163460090647,42.93579954258017,-383820.31576914823,-2.0030428477246844,2.5698611027208362,172827
0,Dishwasher [kW](t),35.830538369913825,34.84779126251922,-32754.462854883026,-2.0039308630934234,1.197521063188496,172827
0,Furnace 1 [kW](t),74.97837432386991,73.32371740261735,-142588.17425280914,-2.010412400534915,1.6042203699090056,172827
0,Furnace 2 [kW](t),49.111880510975006,48.41849187165116,-44089.65521344353,-2.0174855137543775,1.615519567407689,172827
0,Home office [kW](t),39.954123623775345,39.544829583611715,-195520.20359652824,-2.0086916487249153,1.6403714192284427,172827
0,Fridge [kW](t),51.98997068559002,51.269890329259866,-514549.88481110096,-2.004536999078986,1.8063759243081434,172827
0,Wine cellar [kW](t),46.14091237537322,45.210838979730354,-1733398.7829833452,-2.0016756525200377,1.4407874461299044,172827
0,Garage door [kW](t),33.33395062584637,33.26837935885303,-62696356.9239515,-2.001591792708128,2.8462755790481293,172827
0,Kitchen 12 [kW](t),33.174862470941065,33.02114850186073,-19630634996.8747,-2.0000748067572234,2.34372129603677,172827
0,Kitchen 14 [kW](t),38.17791714891061,37.63676257356247,-78905.83089438426,-2.001869218004502,1.7352473398692239,172827
0,Kitchen 38 [kW](t),38.148829696964164,37.84558580310408,-14736919046121.723,-2.000000967981266,2.073339317821842,172827
0,Barn [kW](t),43.702752238016295,42.94640265452583,-185402.45624240595,-2.005692014923847,1.4372067765665917,172827
0,Well [kW](t),54.85214406777379,54.411245551603294,-91506.36405712138,-2.0018558766635857,2.25959100814168,172827
0,Microwave [kW](t),54.81521664647882,53.48039574005901,-329788.8528746125,-2.0008508074494844,1.2614873599199767,172827
0,Living room [kW](t),42.08815225973092,42.01379039738418,-101542.4697138608,-2.007286714586272,3.7640614120351716,172827
0,Solar [kW](t),60.846331695229736,59.82122349483831,-762077.5447530313,-2.0021830217882557,1.6569559398514069,172827
0,temperature(t),3.7670793853584588,2.601023276615332,0.8603178214980587,0.04794005247443912,0.11718637272630165,172827
0,humidity(t),33.93018204887974,33.151865843361456,-32366.059001683534,-2.0865037412682588,1.090545147661168,172827
0,visibility(t),2.15921917503529,1.347145426391844,-0.08656920226181763,-0.07940916094083846,3.025624949127774,172827
0,apparentTemperature(t),5.04770189018668,3.1213518451364566,0.825328946651935,0.0779699558010212,0.15651846199608369,172827
0,pressure(t),34.63417963366263,29.426764665910785,-12.19849086310797,0.021826928709955295,0.34291847203933906,172827
0,windSpeed(t),2.716816558940146,2.128152614881694,0.5890227311448971,0.17833513604191725,0.30320077117129246,172827
0,windBearing(t),17.212957522882736,13.245176372186801,0.9608735926428513,-0.01220356349857301,0.06791835072810579,172827
0,precipIntensity(t),49.36306905129556,49.099734303553674,-5403608.540327486,-2.000601107807778,2.3084407446715622,172827
0,dewPoint(t),8.328337589499117,6.733097257580956,0.6801134416494865,0.12579886875178184,0.24823642614627672,172827
0,precipProbability(t),48.95835075528911,46.673661142580556,-41827.228278529234,4.0,-2.009946631861834,172827
1,use [kW](t),31.75333473839395,30.277501788839718,-2473.713572834995,-2.1507556137200345,1.214762669778051,172827
1,gen [kW](t),44.10584888017995,42.95981833787878,-129411.60623714805,-2.0053272712705974,1.6082185254175336,172827
1,Dishwasher [kW](t),49.57636940780162,49.54147835155558,-46269.80722063993,-2.0036733584636046,6.68487262933726,172827
1,Furnace 1 [kW](t),71.51760898960384,70.17296409563976,-118492.67171886907,-2.014103894711917,1.772274521106048,172827
1,Furnace 2 [kW](t),57.050325811054776,52.54529525156411,-46009.762241186574,-2.021747073582589,1.1315353293177561,172827
1,Home office [kW](t),38.252982064653196,37.35748925997508,-99840.66942372781,-2.0081716990321072,1.716225496419212,172827
1,Fridge [kW](t),41.080476296626735,37.35876095728594,-389601.60213075386,-2.005198093674211,1.0158044775292925,172827
1,Wine cellar [kW](t),42.432721813588145,41.45683967511222,-1756258.4273165471,-2.0016378182489594,1.51456645524765,172827
1,Garage door [kW](t),51.37517673279584,46.48121213495008,-329809231.4658259,-2.0011185954645088,0.996878011090115,172827
1,Kitchen 12 [kW](t),31.848323000562473,30.643771060046593,-187469.38627129572,-2.0011814780239585,1.4159311346328542,172827
1,Kitchen 14 [kW](t),56.81340107421863,52.88540828914714,-215071.2976614559,-2.0007340012379564,1.154372197638778,172827
1,Kitchen 38 [kW](t),30.592449534294445,28.625330409593534,-7735022177932.835,-2.000001474150495,1.0894979389555377,172827
1,Barn [kW](t),60.29073051013673,59.86835889825502,-317085.096017249,-2.0047862525457107,2.1659396906410917,172827
1,Well [kW](t),54.99534585961266,52.36425786899577,-163454.29155026397,-2.0013263041473253,1.3258755789293415,172827
1,Microwave [kW](t),60.38721902470579,59.90120006942685,-598120.6663455474,-2.0005613644287883,2.650188297897226,172827
1,Living room [kW](t),54.12815071608268,52.017164055325296,-447052.8892667858,-2.0021353040519996,1.5261852356282712,172827
1,Solar [kW](t),65.32587439545665,64.06316476247453,-283891.9948920729,-2.0035692580647044,1.7019219204640048,172827
1,temperature(t),2.9440683963242793,2.3582126893485276,0.6021441818481932,-0.08523859006364536,0.16992426993033932,172827
1,humidity(t),54.092162201847515,51.02488333214822,-465545.7906541731,-2.0394354439845226,1.2068634386334496,172827
1,visibility(t),1.2463103768019506,1.0872017586634126,-1.0667407935488575,0.11256612944175272,0.4634219826633069,172827
