time_step,rmse,mae,r2,fb,nrmse,num_params,rmse_std,mae_std,r2_std,fb_std,nrmse_std,num_params_std
Barn [kW](t),58.08811972960481,57.09713490302133,-27488090.04248574,-2.004463731046939,2.277151312315939,172827.0,22.45415222264027,22.030056352651222,129260883.43849927,0.0023806982549914044,1.3097535830605311,0.0
Dishwasher [kW](t),49.93301312248106,49.083845862332545,-2069237759719.5928,-2.002928749508265,2.2103808053879006,172827.0,14.413776487477167,14.141345239162078,11333681592104.406,0.0013616588988364865,1.4534962443492545,0.0
Fridge [kW](t),57.98724676298513,57.14053493256659,-669816.7282253813,-2.0050018688912767,2.3998606641785543,172827.0,17.405204749872084,17.692055158126163,476635.8820417771,0.0020792170343465846,1.692721365455545,0.0
Furnace 1 [kW](t),52.924309037486836,51.96606470715293,-1227240.9385714866,-2.0097795401737937,3.275488401647279,172827.0,14.846938115472412,14.138911494331197,3429181.677449444,0.01159454704739503,2.687072633146021,0.0
Furnace 2 [kW](t),53.049370020822515,52.20946842211917,-18999473.91801956,-2.0134827258122128,2.3267258102265442,172827.0,21.758774042520976,21.49387949342592,46920267.213868685,0.011775118294137483,1.1510250946202225,0.0
Garage door [kW](t),54.050541648823,52.96699605339443,-3132358559.9310393,-2.0011718148906827,2.5431622168426307,172827.0,16.01207214125098,15.579458247737843,16218440918.194052,0.0004557128350476289,2.0732847266045074,0.0
Home office [kW](t),51.12408590311487,50.18219269511116,-176190269.93785182,-2.0072145495193157,2.1754550037910074,172827.0,14.70714456603495,14.312342848217622,953636963.5197439,0.0032178915578280026,1.1997844699810367,0.0
Kitchen 12 [kW](t),49.68118556905813,49.051199651276875,-63075316966.89153,-2.000198928983126,2.643066420799726,172827.0,16.571568615819377,16.437980015185214,72236544510.70212,0.0003503955826463323,1.6000640799959573,0.0
Kitchen 14 [kW](t),55.72450213795971,54.88596632030121,-68718690651.40301,-2.000661674337856,2.724069272924374,172827.0,18.17741156356305,18.117530681760087,376370308087.3974,0.0005671165686655601,1.9453260766726646,0.0
Kitchen 38 [kW](t),53.13122806925775,52.403178683881414,-32193642766562.992,-2.000000822895,2.675197545517596,172827.0,16.79545702340312,16.84383017930648,19896677518229.965,3.680928508024904e-07,1.6285563093356636,0.0
Living room [kW](t),54.14238899653305,53.126729283128526,-22433642305.163475,-2.002790583635623,2.356386545387626,172827.0,13.553568901108337,13.388012432023089,122872048558.8885,0.0014075491430961431,1.2891997215750373,0.0
Microwave [kW](t),57.542393851178225,56.64703189254237,-30597634012.57634,-2.0009411692672625,2.065178812343034,172827.0,19.29447752157113,18.993536515172924,129603028150.79291,0.000523485958823259,0.8282998614042728,0.0
Solar [kW](t),56.92521191242555,55.650191548949024,-431671.2003078938,-2.0064582787513503,2.234555278322775,172827.0,17.274175414916577,17.074096170802292,628000.6965394558,0.004952292022365103,1.7603097288108462,0.0
Well [kW](t),52.412203612337926,51.662014546965935,-13082140805.822752,-2.001499364968257,1.99809974864874,172827.0,15.936787120890767,15.830290580795543,71652756279.3225,0.0013910895269410178,0.9148424453449575,0.0
Wine cellar [kW](t),53.561307672361686,52.63631307378138,-1441939.2402711099,-2.003508193413284,2.061935567973974,172827.0,17.22526226432652,17.12034267743549,877082.2805336255,0.002587517030917595,1.0684056854035315,0.0
apparentTemperature(t),12.499134346551516,11.314997223385758,-3.446994305655989,-0.4674152520785876,0.6306205893388458,172827.0,24.123642063735517,23.605587326422565,15.195618603722659,1.5303811434560226,1.544986032045249,0.0
dewPoint(t),10.270850560896536,9.077119900659348,-69.57926151816147,-0.06774271209709082,0.5069729470744031,172827.0,19.68322408460587,19.432214632826774,375.2874898113325,0.43809632209369714,0.45298653197618116,0.0
gen [kW](t),56.12571288572515,55.34465465822393,-406818.2002316907,-2.0063328637884954,2.411065611282512,172827.0,16.851148287250272,16.840756026236924,519159.2469504922,0.004555713988876129,1.2697653012447196,0.0
humidity(t),50.926196942919816,50.19771996155695,-130844.48473779022,-2.059556527053747,2.4871610208622585,172827.0,15.39841856187068,15.298511759602308,129678.36445029425,0.0222979888363193,1.5820354255945401,0.0
precipIntensity(t),55.53971228452556,54.48134617609397,-8171799946.441345,-2.000226851216618,2.2663966929649146,172827.0,21.43027765550296,20.842870905541293,36667835078.4793,0.00029000537503286097,1.2737207486269047,0.0
precipProbability(t),48.95835075528911,46.67366114258055,-41827.228278529234,4.0,-2.009946631861834,172827.0,0.0,0.0,0.0,0.0,0.0,0.0
pressure(t),116.51486503080565,104.09873467776157,-2952.870255858136,0.1334703800902553,1.4590905595562869,172827.0,179.74178209229416,181.40175702844334,13218.133045992035,0.3783954377793738,5.205152863993594,0.0
temperature(t),7.947453209974721,7.10180436786948,-4.778621968954413,0.3204339395996004,0.3060263186753449,172827.0,19.952891732144277,19.82302137725342,29.48658371027407,1.550272173018305,0.5565090083549079,0.0
use [kW](t),51.71487974089856,50.65624537940645,-10781.228134105942,-2.0146776584689157,2.25901448219517,172827.0,17.46133833339457,17.45529633269187,18224.899671912826,0.368041173536882,2.053871164790522,0.0
visibility(t),11.994440876400631,11.604772478303346,-8689.13527909809,-0.4365965809756708,1.0856825862798902,172827.0,24.37019908124348,24.15922907425179,45855.849838872484,1.067734478885276,0.988184477507128,0.0
windBearing(t),47.319757162900196,31.759077323059753,-0.5878387852274847,0.1546787793101647,0.3325033009577221,172827.0,47.890647353785646,48.90625642054053,7.590455139045556,0.5773795226831011,1.0235265422695707,0.0
windSpeed(t),10.086397173771124,9.482823471445213,-48.122131456669194,-0.09948833938631664,0.7781921394586386,172827.0,21.63497545502627,21.584343181454614,150.84429635441427,0.8294355672214835,1.0207732082903294,0.0
