time_step,rmse,mae,r2,fb,nrmse,num_params,rmse_std,mae_std,r2_std,fb_std,nrmse_std,num_params_std
Appliances(t),78.56486963772548,54.56481102235023,-1.4757483609906108,-0.22142062845042348,2.1894498469221615,72602.0,27.05319197139635,22.116686096247527,7.647299197406659,0.27616906376265804,6.049936150496612,0.0
Press_mm_hg(t),78.10159714979437,71.99796108118906,-15212.595548349724,0.104241382196761,5.198914548650267,72602.0,76.05798685484413,72.4001800224183,37912.913995297764,0.11594667513022654,12.420676450716584,0.0
RH_1(t),3.5446335586345636,2.7836850288646104,-8.442436497799475,0.01867607538864125,2.7877071904021724,72602.0,3.161764120519529,2.10555053417933,23.23175405335278,0.08289249512246558,5.441052128747113,0.0
RH_2(t),4.078407744796964,3.24726956317158,-4.1634799174957395,0.024457245127840574,2.9751038998622397,72602.0,3.4223485179979383,2.2495395966737557,6.334059048912581,0.09223273727150887,5.165266686917948,0.0
RH_3(t),2.85304353262944,2.2318905662434334,-15.460576535478406,0.025624007478037655,2.2125854879229276,72602.0,3.205333606953331,1.9960469060943762,40.77240906726318,0.07060159101658446,3.428600794975238,0.0
RH_4(t),3.5419312799404117,2.9115275682760022,-19.901413020316873,0.029013413887003958,2.839583728859827,72602.0,3.252158734639376,2.4176561824061995,51.786892615872155,0.0910368364865202,4.785472163234556,0.0
RH_5(t),7.469092590089299,5.407862871676028,-5.3118750374489645,0.00203233738965358,3.8432714570473294,72602.0,4.099528526352772,2.5043275039430406,17.647347026557735,0.08642162509981896,7.229673750446205,0.0
RH_6(t),12.441645144246504,10.175630598618246,-6.154514090812174e+26,0.051354524352361694,2.9764078563320444,72602.0,8.029614995790157,7.469122301410847,3.3709661980212263e+27,0.34839569557187616,4.0145835487826185,0.0
RH_7(t),4.653806143689395,4.002741424698031,-8.74072686898335,0.02962444787131761,2.668104237180741,72602.0,3.594493145941543,3.013311175708801,18.428083994876236,0.1341913813442969,3.2900634450621737,0.0
RH_8(t),4.6685752166777075,3.8298544352219506,-4.790914280400464,0.023011423759381967,2.4870376770529665,72602.0,3.307233320476554,2.4738534954914195,8.324349924881911,0.09838029783921652,3.4758195380251924,0.0
RH_9(t),3.959498843211002,3.1490137978493897,-22.746475601890257,0.0273882103940573,2.4499449138043947,72602.0,3.4430100738983125,2.325155193718631,91.15163857335622,0.08688014002340577,2.7412662903220046,0.0
RH_out(t),12.542665226556322,10.232670629192596,-0.9300883555143912,0.04197040584901257,2.8807996437862067,72602.0,6.469362372451778,5.190179775271348,2.0347139444033786,0.11359467406425171,3.4909490983873703,0.0
T1(t),1.589381850201902,1.1965614968367255,-17.648435972000435,0.026736874067546983,2.862046270587111,72602.0,1.729588595568079,0.9141416224455827,44.59920319488769,0.06427286015623736,6.117684414331677,0.0
T2(t),1.9796851061785954,1.5337888096682581,-2.83794348236484,0.03132452078710148,2.393129526704889,72602.0,1.4474390940662505,0.8541532016373748,4.8385878351299985,0.07400596547946778,3.2328933721351514,0.0
T3(t),1.5122895821981694,1.1988750637008345,-27.123808351456237,0.02909781509752436,2.51447448284231,72602.0,1.7926002176023679,1.1548760980220247,100.61694120706996,0.06948081576809977,5.4836952604071945,0.0
T4(t),1.6667087920261574,1.3097779132975194,-18.138035958897227,0.02809238839129303,2.6556873003728847,72602.0,1.6251919443335578,0.9222457587200096,48.679314188033594,0.0694674707637982,3.5589341984547,0.0
T5(t),1.3584257714487662,1.020786370790449,-12.096724367222537,0.025963888285740637,2.417503274576743,72602.0,1.700472606031679,0.9855509015608815,30.828975059108597,0.0648660100724137,3.8286629636136724,0.0
T6(t),4.011357509573844,3.3917890134448645,-4.718095983475477,0.02455818361674013,2.3803603287935786,72602.0,1.9522962998207354,1.7878284774727808,20.606669675065792,0.9848516141671861,3.4619821551626715,0.0
T7(t),1.4769515885738513,1.1464594065187086,-40.514810110520656,0.03165472196760343,2.5946567722378604,72602.0,1.7212208437756165,0.9169343971722506,122.68073665941152,0.06194072716676066,4.306191980889546,0.0
T8(t),1.6664462352832066,1.2549904496125115,-34.59079462051049,0.01803477293012364,3.7469057121856184,72602.0,1.9280446019736375,0.928545254632261,120.08850797169805,0.06446912123475301,8.63972459995396,0.0
T9(t),1.1836835835047184,0.9035980321611677,-196.31916422584897,0.023946530293472854,3.2831179647673694,72602.0,1.6289637674719553,0.8960622802064047,848.8327883673217,0.05821055452895602,6.955687819705208,0.0
T_out(t),3.53588211405379,3.0268419521656984,-4.473711397573652,0.06703779255678462,3.2781440925447414,72602.0,1.5752819398320996,1.4822931042230356,12.194733348387606,0.7498181731234933,5.311429202330015,0.0
Tdewpoint(t),1.8693066446101594,1.5105410141388174,-2.4711355827996555,0.0,-0.9838362457194828,72602.0,0.0,0.0,0.0,0.0,0.0,0.0
Visibility(t),11.673578266350985,9.788884862479152,-0.4581883164571303,0.056390625259012526,5.495899105989936,72602.0,5.593046723215773,4.832032422623914,0.8612894473872751,0.14100984757919244,8.3300959402155,0.0
Windspeed(t),2.592473682654938,2.245465821517317,-3.0594000404140926,0.09341876917648154,4.925665740401824,72602.0,1.11010995311677,1.0836898434457463,4.614346245731464,0.5978200045383193,9.785515475111529,0.0
lights(t),7.596011388784466,5.871619262547877,-0.30173287328898896,1.0715833130091794,3.910291535562548,72602.0,3.330692152187521,2.936383134995517,0.4246712546201147,7.735308941303772,7.763402631486202,0.0
