time_step,time,num_params,RMSE,MAPE,SMAPE,MAE,R2,NRMSE,FB,time_std,num_params_std,RMSE_std,MAPE_std,SMAPE_std,MAE_std,R2_std,NRMSE_std,FB_std
PM2.5 (t+10),28.078333333333333,12534.0,565.545339457194,152.8583711385727,35.368881076574326,436.4892344156901,-0.4569518675121035,6.394691194900889,0.16654393110036508,34.94134021108987,0.0,278.33092881830277,102.31909752361693,8.716237219341913,202.8227089651864,0.7645908936999327,3.922757398929254,0.39857799073580463
PM2.5 (t+15),28.078333333333333,12534.0,549.7592524210612,149.81949100891748,35.14445781707764,425.73489532470705,-0.29161034162145494,6.191053123487773,0.16207300271191225,34.94134021108987,0.0,257.1262154088272,96.95977259146771,8.425842742572078,191.63321604770866,0.3561876848335671,3.8109610483286844,0.3533896126851646
PM2.5 (t+20),28.078333333333333,12534.0,531.8362930297851,147.9193883140882,34.855714092652,416.806618754069,-0.26682019791431266,6.093131547007577,0.1453625161301605,34.94134021108987,0.0,247.5441952296129,96.76275425176382,7.964947746646013,185.92056501396044,0.35030595783070156,3.8455427565408153,0.35624743482351945
PM2.5 (t+25),28.078333333333333,12534.0,545.2593276977539,143.41703126827875,35.403306583563484,427.088693745931,-0.29873465648308967,6.280799907062894,0.165129257623652,34.94134021108987,0.0,251.73745989322398,91.30408365084116,7.972295015325443,185.58834826931243,0.45975441852695487,3.90969544464894,0.38815957363993187
PM2.5 (t+30),28.078333333333333,12534.0,566.5034327189128,141.77396088838577,35.581553181012474,444.43758697509764,-0.3092927687650737,6.769393807643103,0.20805110281416556,34.94134021108987,0.0,282.35886282265864,82.88107934712177,8.21369010531233,202.96896460304518,0.42141722466941733,4.913271164144422,0.39539909562028164
PM2.5 (t+5),28.078333333333333,12534.0,565.5960922241211,155.58765371640524,35.71103120843569,438.6813028971354,-0.5216711994435302,6.6350741540699,0.16975288804706215,34.94134021108987,0.0,304.9433911471458,106.56462563501553,9.481179923078317,225.04211516784068,1.158880057324835,4.205790030273308,0.44286440959247175
