window,time_step,rmse,mae,r2,fb,nrmse,num_params
0,use [kW](t),0.8328093178194608,0.5594722938458058,-0.4406057994328709,0.5322603450540777,5.731107298583711,156177
0,gen [kW](t),34.1058390424806,34.10468724784274,-239434.4273539375,-2.003832276764636,31.902832047387065,156177
0,Dishwasher [kW](t),6.623135346035205,6.617383126769516,-1118.191320504849,-2.020875347030326,12.95383300990855,156177
0,Furnace 1 [kW](t),10.924790831361612,10.905754113018991,-3026.1976356937107,-2.072156769279102,6.194538579098006,156177
0,Furnace 2 [kW](t),11.279407530748923,11.27332138304714,-2324.6588132889615,-2.0773272005445107,11.561042109105662,156177
0,Home office [kW](t),6.207858632815976,6.206966911886635,-4719.133487848555,-2.0566982627017576,25.84032953869709,156177
0,Fridge [kW](t),30.318336739228776,30.312204748712396,-174983.6401559424,-2.007685909228953,17.488228036034513,156177
0,Wine cellar [kW](t),51.458836100356805,51.45155008950603,-2155986.8063859143,-2.0014722579222988,19.481994368539002,156177
0,Garage door [kW](t),38.680851007703005,38.6801062933884,-84422998.45915937,-2.001368932791931,47.47191235241409,156177
0,Kitchen 12 [kW](t),45.583305586328166,45.579347957774175,-37061903219.75919,-2.0000541951478676,24.160388809271616,156177
0,Kitchen 14 [kW](t),34.62840631084571,34.62349834408946,-64915.50773038884,-2.0020320602890584,20.315621028020363,156177
0,Kitchen 38 [kW](t),10.564094609311816,10.552931617742617,-1130079047260.26,-2.0000034714392987,7.1879685059492235,156177
0,Barn [kW](t),6.922435474450443,6.919000481072106,-4650.768379756949,-2.035861921887421,11.877757778064343,156177
0,Well [kW](t),9.462600701226311,9.458504067084508,-2722.2647083631164,-2.0107234587659324,13.55029264830111,156177
0,Microwave [kW](t),40.006512298219796,39.997064511002684,-175668.51530448755,-2.0011377846742184,16.418940918092954,156177
0,Living room [kW](t),8.567478517326725,8.541146529034524,-4206.637601032719,-2.0363624475064444,4.291765526857722,156177
0,Solar [kW](t),53.97418030514961,53.97296038186575,-599656.1891131627,-2.0024198500687778,52.53214346889856,156177
0,temperature(t),10.428286105645698,8.228614377880666,-0.0704276789553615,0.16298702708899143,1.8709085453719991,156177
0,humidity(t),26.31979029678478,26.311274037294787,-19474.81808241634,-2.110233168737948,10.031353701957906,156177
0,visibility(t),2.3024709966391534,1.3125615808172206,-0.23552708699392877,-0.1191110971835422,8.223510672379557,156177
0,apparentTemperature(t),12.204669690142685,9.184039752725102,-0.021140739053624236,0.2386734116663,1.7287545243385567,156177
0,pressure(t),225.0625878010719,223.2743265213407,-556.3411150396694,0.24849425306769246,3.0551955021084485,156177
0,windSpeed(t),3.8658850094324646,3.2875200129787685,0.1678626142180878,-0.04436678973848824,1.8293315136252628,156177
0,windBearing(t),64.09460984166336,51.48135620177859,0.4574971868048626,0.20946952615215245,0.5996889773315873,156177
0,precipIntensity(t),12.237240509660818,12.230757917197137,-332082.00069182983,-2.002415304038688,10.660168417506728,156177
0,dewPoint(t),14.095872542722025,11.851736099440345,0.08364600488522766,0.26711760952731783,2.0650050396892965,156177
0,precipProbability(t),36.8010000997079,36.7981816055571,-23632.886905623964,4.0,-2.012632857205863,156177
1,use [kW](t),4.382013132367301,4.318910518677333,-46.12958400561144,-3.9323028426977027,3.0500819975400693,156177
1,gen [kW](t),8.033114604754896,7.786740972602667,-4291.913513157774,-2.029748738212686,1.8081382081514934,156177
1,Dishwasher [kW](t),8.29296176283299,8.284151990356321,-1293.7232995957413,-2.022170479843302,12.317765800452669,156177
1,Furnace 1 [kW](t),3.950008191737003,3.936823645402947,-360.46410517449317,-2.2852418506724335,5.318842598753619,156177
1,Furnace 2 [kW](t),11.472645436965559,11.413459975758617,-1859.6741062586725,-2.1042024673256954,4.4497061114450105,156177
1,Home office [kW](t),7.815347208373569,7.689167640050156,-4166.520975477879,-2.040337776782643,2.4728914683486756,156177
1,Fridge [kW](t),7.6677582313869,7.392529373210984,-13572.371321033881,-2.026548701307477,1.711642256279836,156177
1,Wine cellar [kW](t),11.700268710697845,11.548922485561537,-133528.91117591757,-2.0058917236615823,2.6118536481368926,156177
1,Garage door [kW](t),9.743378099840983,9.49184225434206,-11862472.715678846,-2.0054896872950696,1.94000939263129,156177
1,Kitchen 12 [kW](t),8.542651608970282,8.51452620542099,-13486.918283690118,-2.004258676231722,5.661864887884638,156177
1,Kitchen 14 [kW](t),5.2304584256762565,5.162643238748239,-1821.898159394781,-2.007544602918281,2.6537488053663543,156177
1,Kitchen 38 [kW](t),10.492267397619768,10.322347662157258,-909854105256.4979,-2.000004088033014,2.490148621793321,156177
1,Barn [kW](t),63.46793047068455,62.974897325770975,-351385.26481192035,-2.0045496101706366,3.42959432632228,156177
1,Well [kW](t),7.373377061611802,7.333677721872526,-2937.1908125934233,-2.009508855715102,3.86202887588316,156177
1,Microwave [kW](t),9.83775952740666,9.799900432783215,-15873.201183403866,-2.003436231087648,4.297348320788533,156177
1,Living room [kW](t),7.571753070697465,7.325082089152661,-8746.951826431252,-2.01526272927745,1.7291421623057117,156177
1,Solar [kW](t),7.677458829597774,7.652631895490329,-3920.201912126645,-2.030277964279868,5.161751375381023,156177
1,temperature(t),5.70619232507054,4.958757097915437,-0.4945922760528225,-0.003417122793592747,0.4744935002089739,156177
1,humidity(t),11.284276536702118,11.072792325560188,-20259.123808869255,-2.195642523298143,2.466893795530511,156177
1,visibility(t),1.1994762957636986,1.1481323640341787,-0.9143305465317952,0.10002877153690733,1.6469986607949854,156177
